date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-01-19,74.6237,75.138,71.6271,72.2654,13155558,13155558,-1.915,-2.582,73.0946,"Jan 19, 16",-0.20600385871308838
2016-01-20,70.909,71.2015,66.7863,70.0224,26151133,26151133,-2.2431,-3.104,68.6479,"Jan 20, 16",-0.23064820227039987
2016-01-21,69.8628,72.3896,69.1713,71.8576,16107819,16107819,1.8352,2.621,71.3091,"Jan 21, 16",-0.21048444868307123
2016-01-22,74.8809,75.5281,72.4516,74.0652,15724559,15724559,2.2076,3.072,73.7587,"Jan 22, 16",-0.18622905285733737
2016-01-25,72.957,74.7301,71.636,71.7158,12370283,12370283,-2.3494,-3.172,72.918,"Jan 25, 16",-0.21204243705419332
2016-01-26,72.6733,74.9163,72.1236,74.5794,12191392,12191392,2.8637,3.993,74.0722,"Jan 26, 16",-0.18057942224781012
2016-01-27,74.4287,76.3349,73.019,73.8436,12380644,12380644,-0.735862,-0.987,74.5617,"Jan 27, 16",-0.1886638217081178
2016-01-28,76.0246,76.8579,74.2071,76.1753,13017445,13017445,2.3317,3.158,75.7851,"Jan 28, 16",-0.1630449113770508
2016-01-29,74.5174,76.8757,73.5421,76.6629,20248924,20248924,0.487623,0.64,75.5727,"Jan 29, 16",-0.15768754092740964
2016-02-01,75.4926,76.326,74.6858,75.6167,10958349,10958349,-1.0462,-1.365,75.3759,"Feb 1, 16",-0.16918237473465855
2016-02-02,73.3293,73.6219,71.7778,72.0261,13326168,13326168,-3.5907,-4.749,72.7358,"Feb 2, 16",-0.20863310142965755
2016-02-03,73.0456,75.0316,70.7937,75.0227,13964076,13964076,2.9967,4.161,73.405,"Feb 3, 16",-0.17570878582384397
2016-02-04,74.9961,76.4146,74.3223,75.1734,12824997,12824997,0.150717,0.201,75.4632,"Feb 4, 16",-0.17405301115862468
2016-02-05,74.4198,74.7301,72.9304,73.4801,15090100,15090100,-1.6934,-2.253,73.7216,"Feb 5, 16",-0.19265767765242578
2016-02-08,72.4871,76.8668,71.9019,76.2373,17712810,17712810,2.7573,3.752,74.6406,"Feb 8, 16",-0.16236370348558685
2016-02-09,75.4305,76.06,72.8506,73.5155,12605567,12605567,-2.7218,-3.57,74.0956,"Feb 9, 16",-0.19226872992084795
2016-02-10,73.3825,74.3844,72.2566,73.6219,12110253,12110253,0.10639,0.145,73.6021,"Feb 10, 16",-0.1910996892813037
